Waktu | RPM| Speed | Engine Load | Coolant Temperature
12:55:47 | 2503 | 59 | 49.41 | 76
12:55:48 | 2515 | 59 | 49.41 | 76
12:55:49 | 2503 | 59 | 49.41 | 77
12:55:50 | 2500 | 59 | 49.41 | 76
12:55:50 | 2500 | 59 | 49.41 | 77
12:55:51 | 2503 | 59 | 49.41 | 77
12:55:52 | 2515 | 59 | 49.41 | 77
12:55:53 | 2503 | 59 | 49.41 | 77
12:55:54 | 2507 | 59 | 49.41 | 77
12:55:54 | 2511 | 59 | 49.41 | 77
12:55:55 | 2523 | 59 | 49.02 | 77
12:55:56 | 2519 | 59 | 49.02 | 77
12:55:57 | 2519 | 59 | 49.02 | 77
12:55:57 | 2519 | 59 | 49.02 | 77
12:55:58 | 2527 | 59 | 49.02 | 77
12:55:59 | 2531 | 60 | 49.02 | 77
12:56:00 | 2535 | 60 | 49.02 | 77
12:56:01 | 2523 | 59 | 49.41 | 77
12:56:01 | 2527 | 59 | 49.02 | 77
12:56:02 | 2527 | 60 | 49.41 | 77
12:56:03 | 2535 | 59 | 49.02 | 77
12:56:04 | 2539 | 59 | 49.02 | 77
12:56:04 | 2542 | 60 | 49.02 | 77
12:56:05 | 2542 | 60 | 49.02 | 77
12:56:06 | 2539 | 59 | 49.02 | 77
12:56:07 | 2531 | 59 | 49.41 | 77
12:56:07 | 2527 | 60 | 49.02 | 77
12:56:08 | 2507 | 60 | 49.41 | 77
12:56:09 | 2515 | 59 | 49.41 | 77
12:56:10 | 2496 | 59 | 49.41 | 77
12:56:11 | 2503 | 59 | 49.41 | 77
12:56:11 | 2500 | 58 | 49.41 | 77
12:56:12 | 2492 | 59 | 49.41 | 77
12:56:13 | 2492 | 59 | 49.41 | 77
12:56:14 | 2488 | 58 | 49.41 | 77
12:56:14 | 2503 | 59 | 50.2 | 77
12:56:15 | 2496 | 59 | 50.2 | 77
12:56:16 | 2480 | 59 | 50.2 | 77
12:56:17 | 2484 | 58 | 50.59 | 77
12:56:17 | 2480 | 58 | 50.59 | 77
12:56:18 | 2480 | 58 | 50.98 | 77
12:56:19 | 2484 | 59 | 50.98 | 77
12:56:20 | 2480 | 59 | 51.76 | 77
12:56:20 | 2484 | 58 | 53.73 | 77
12:56:21 | 2488 | 59 | 54.51 | 77
12:56:22 | 2507 | 59 | 56.08 | 77
12:56:23 | 2519 | 58 | 55.29 | 77
12:56:24 | 2531 | 59 | 55.29 | 77
12:56:24 | 2542 | 60 | 55.29 | 77
12:56:25 | 2554 | 60 | 55.29 | 77
12:56:26 | 2562 | 60 | 54.9 | 77
12:56:27 | 2566 | 60 | 54.9 | 77
12:56:27 | 2585 | 60 | 54.51 | 77
12:56:28 | 2585 | 61 | 54.51 | 77
12:56:29 | 2578 | 61 | 53.33 | 77
