Waktu | RPM| Speed | Engine Load | Coolant Temperature
12:35:33 | 742 | 0 | 28.63 | 83
12:35:34 | 746 | 0 | 28.63 | 83
12:35:35 | 761 | 0 | 28.63 | 83
12:35:35 | 757 | 0 | 28.63 | 83
12:35:36 | 757 | 0 | 28.63 | 83
12:35:37 | 750 | 0 | 28.63 | 83
12:35:38 | 746 | 0 | 28.63 | 83
12:35:38 | 753 | 0 | 28.63 | 83
12:35:39 | 742 | 0 | 28.63 | 83
12:35:40 | 761 | 0 | 28.24 | 83
12:35:41 | 750 | 0 | 28.63 | 83
12:35:42 | 750 | 0 | 28.63 | 83
12:35:42 | 746 | 0 | 28.63 | 83
12:35:43 | 757 | 0 | 28.63 | 83
12:35:44 | 761 | 0 | 28.63 | 83
12:35:45 | 750 | 0 | 28.63 | 83
12:35:45 | 750 | 0 | 28.63 | 83
12:35:46 | 746 | 0 | 28.63 | 83
12:35:47 | 746 | 0 | 28.63 | 83
12:35:48 | 742 | 0 | 28.63 | 83
12:35:49 | 753 | 0 | 28.24 | 83
12:35:49 | 757 | 0 | 28.24 | 83
12:35:50 | 753 | 0 | 28.63 | 83
12:35:51 | 746 | 0 | 28.63 | 83
12:35:52 | 742 | 0 | 28.63 | 83
12:35:52 | 761 | 0 | 28.63 | 83
12:35:53 | 753 | 0 | 28.63 | 83
12:35:54 | 750 | 0 | 28.63 | 83
12:35:55 | 738 | 0 | 28.63 | 83
12:35:55 | 746 | 0 | 28.63 | 83
12:35:56 | 742 | 0 | 28.24 | 83
12:35:57 | 742 | 0 | 28.24 | 83
12:35:58 | 738 | 0 | 28.63 | 83
12:35:58 | 750 | 0 | 28.63 | 83
12:35:59 | 765 | 0 | 28.24 | 83
12:36:00 | 750 | 0 | 28.63 | 83
12:36:01 | 750 | 0 | 28.63 | 83
12:36:02 | 746 | 0 | 28.63 | 83
12:36:02 | 769 | 0 | 28.63 | 83
12:36:03 | 757 | 0 | 28.63 | 83
12:36:04 | 753 | 0 | 28.63 | 83
12:36:05 | 742 | 0 | 29.8 | 83
12:36:05 | 746 | 0 | 29.41 | 83
12:36:06 | 765 | 0 | 28.63 | 83
12:36:07 | 734 | 0 | 29.41 | 83
12:36:08 | 742 | 0 | 28.63 | 83
12:36:08 | 753 | 0 | 28.63 | 83
12:36:09 | 750 | 0 | 30.2 | 83
12:36:10 | 792 | 0 | 28.24 | 83
12:36:11 | 960 | 0 | 49.02 | 83
12:36:11 | 1777 | 0 | 46.27 | 83
12:36:12 | 1722 | 0 | 47.45 | 83
12:36:13 | 1601 | 0 | 50.59 | 83
