Waktu | RPM| Speed | Engine Load | Coolant Temperature
13:01:01 | 769 | 0 | 28.63 | 77
13:01:02 | 761 | 0 | 29.41 | 77
13:01:02 | 761 | 0 | 29.41 | 77
13:01:03 | 757 | 0 | 28.63 | 77
13:01:04 | 738 | 0 | 28.63 | 77
13:01:05 | 734 | 0 | 28.63 | 77
13:01:06 | 738 | 0 | 28.63 | 77
13:01:06 | 746 | 0 | 28.63 | 77
13:01:07 | 734 | 0 | 28.63 | 77
13:01:08 | 726 | 0 | 29.41 | 77
13:01:09 | 750 | 0 | 29.41 | 77
13:01:09 | 753 | 0 | 29.41 | 77
13:01:10 | 769 | 0 | 29.41 | 77
13:01:11 | 750 | 0 | 29.41 | 77
13:01:12 | 769 | 0 | 28.63 | 77
13:01:12 | 753 | 0 | 28.63 | 77
13:01:13 | 742 | 0 | 29.41 | 77
13:01:14 | 753 | 0 | 28.63 | 77
13:01:15 | 761 | 0 | 28.63 | 77
13:01:15 | 761 | 0 | 28.63 | 77
13:01:16 | 757 | 0 | 28.63 | 77
13:01:17 | 757 | 0 | 28.63 | 77
13:01:18 | 761 | 0 | 29.41 | 77
13:01:18 | 769 | 0 | 29.41 | 77
13:01:19 | 761 | 0 | 29.8 | 77
13:01:20 | 753 | 0 | 29.41 | 77
13:01:21 | 757 | 0 | 29.41 | 77
13:01:22 | 753 | 0 | 29.41 | 77
13:01:22 | 750 | 0 | 29.41 | 77
13:01:23 | 753 | 0 | 29.41 | 77
13:01:24 | 738 | 0 | 31.37 | 77
13:01:25 | 769 | 0 | 48.24 | 77
13:01:25 | 1414 | 0 | 43.53 | 77
13:01:26 | 1382 | 2 | 50.98 | 77
13:01:27 | 1367 | 4 | 49.02 | 77
13:01:28 | 1429 | 6 | 45.49 | 77
13:01:28 | 1761 | 10 | 56.47 | 77
13:01:29 | 2238 | 12 | 51.76 | 77
13:01:30 | 2613 | 14 | 55.29 | 77
13:01:31 | 2710 | 16 | 21.57 | 77
13:01:32 | 2046 | 18 | 36.86 | 77
