Waktu | RPM| Speed | Engine Load | Coolant Temperature
12:47:22 | 769 | 0 | 28.63 | 79
12:47:23 | 761 | 0 | 28.63 | 79
12:47:24 | 753 | 0 | 29.41 | 79
12:47:25 | 742 | 0 | 28.63 | 79
12:47:26 | 746 | 0 | 28.63 | 79
12:47:26 | 742 | 0 | 28.63 | 79
12:47:27 | 753 | 0 | 28.63 | 79
12:47:28 | 757 | 0 | 28.63 | 79
12:47:29 | 757 | 0 | 28.63 | 79
12:47:30 | 773 | 0 | 28.63 | 79
12:47:30 | 757 | 0 | 29.41 | 79
12:47:31 | 746 | 0 | 29.41 | 79
12:47:32 | 753 | 0 | 28.63 | 79
12:47:33 | 742 | 0 | 28.63 | 79
12:47:33 | 750 | 0 | 28.63 | 79
12:47:34 | 750 | 0 | 28.63 | 79
12:47:35 | 742 | 0 | 28.63 | 79
12:47:36 | 750 | 0 | 28.63 | 79
12:47:36 | 750 | 0 | 28.63 | 79
12:47:37 | 757 | 0 | 28.63 | 79
12:47:38 | 757 | 0 | 29.41 | 79
12:47:39 | 757 | 0 | 28.63 | 79
12:47:40 | 765 | 0 | 28.63 | 79
12:47:40 | 746 | 0 | 29.41 | 79
12:47:41 | 746 | 0 | 28.63 | 79
12:47:42 | 750 | 0 | 28.63 | 79
12:47:43 | 750 | 0 | 28.63 | 79
12:47:43 | 742 | 0 | 28.63 | 79
12:47:44 | 757 | 0 | 28.63 | 79
12:47:45 | 757 | 0 | 28.63 | 79
12:47:46 | 761 | 0 | 28.63 | 79
12:47:46 | 746 | 0 | 28.63 | 79
12:47:47 | 750 | 0 | 29.41 | 79
12:47:48 | 761 | 0 | 28.63 | 79
12:47:49 | 753 | 0 | 28.63 | 79
12:47:49 | 753 | 0 | 28.63 | 79
12:47:50 | 753 | 0 | 28.63 | 79
12:47:51 | 738 | 0 | 28.63 | 80
12:47:52 | 742 | 0 | 28.63 | 80
12:47:53 | 742 | 0 | 28.63 | 80
12:47:53 | 734 | 0 | 28.63 | 80
12:47:54 | 753 | 0 | 28.63 | 80
12:47:55 | 753 | 0 | 28.63 | 80
12:47:56 | 750 | 0 | 28.63 | 80
12:47:56 | 757 | 0 | 28.63 | 80
12:47:57 | 765 | 0 | 28.63 | 80
12:47:58 | 738 | 0 | 29.41 | 80
12:47:59 | 753 | 0 | 28.63 | 80
12:47:59 | 753 | 0 | 28.63 | 80
12:48:00 | 742 | 0 | 28.63 | 80
12:48:01 | 742 | 0 | 28.63 | 80
12:48:02 | 742 | 0 | 28.63 | 80
12:48:02 | 750 | 0 | 28.63 | 80
12:48:03 | 734 | 0 | 28.63 | 80
12:48:04 | 734 | 0 | 28.63 | 80
12:48:05 | 765 | 0 | 28.63 | 80
12:48:06 | 742 | 0 | 28.63 | 80
12:48:06 | 753 | 0 | 28.63 | 80
12:48:07 | 757 | 0 | 29.41 | 80
12:48:08 | 738 | 0 | 29.41 | 80
12:48:09 | 746 | 0 | 28.63 | 80
12:48:09 | 750 | 0 | 28.63 | 80
12:48:10 | 742 | 0 | 28.63 | 80
12:48:11 | 753 | 0 | 28.24 | 80
12:48:12 | 742 | 0 | 28.63 | 80
12:48:12 | 753 | 0 | 28.24 | 80
12:48:13 | 761 | 0 | 28.63 | 80
12:48:14 | 753 | 0 | 28.63 | 80
12:48:15 | 742 | 0 | 28.63 | 80
12:48:15 | 757 | 0 | 28.63 | 80
12:48:16 | 761 | 0 | 28.63 | 80
12:48:17 | 746 | 0 | 29.41 | 80
12:48:18 | 761 | 0 | 28.24 | 80
12:48:19 | 734 | 0 | 28.63 | 80
12:48:19 | 734 | 0 | 28.63 | 80
12:48:20 | 746 | 0 | 28.63 | 80
12:48:21 | 757 | 0 | 28.24 | 80
12:48:22 | 742 | 0 | 28.63 | 80
12:48:22 | 753 | 0 | 28.63 | 80
12:48:23 | 753 | 0 | 28.63 | 80
12:48:24 | 746 | 0 | 28.63 | 80
12:48:25 | 742 | 0 | 28.63 | 80
12:48:25 | 753 | 0 | 28.63 | 80
12:48:26 | 746 | 0 | 29.41 | 80
12:48:27 | 750 | 0 | 28.63 | 80
12:48:28 | 753 | 0 | 28.63 | 80
12:48:29 
