Waktu | RPM| Speed | Engine Load | Coolant Temperature
13:02:47 | 2546 | 60 | 49.41 | 78
13:02:48 | 2542 | 60 | 49.41 | 78
13:02:49 | 2542 | 60 | 49.41 | 78
13:02:50 | 2546 | 60 | 49.41 | 78
13:02:50 | 2542 | 60 | 49.41 | 78
13:02:51 | 2542 | 60 | 50.2 | 78
13:02:52 | 2535 | 60 | 50.2 | 78
13:02:53 | 2535 | 59 | 50.2 | 78
13:02:54 | 2539 | 59 | 50.59 | 78
13:02:54 | 2539 | 60 | 52.16 | 78
13:02:55 | 2546 | 60 | 56.08 | 78
13:02:56 | 2601 | 60 | 21.57 | 78
13:02:57 | 2078 | 59 | 32.55 | 78
13:02:57 | 2117 | 59 | 68.63 | 78
13:02:58 | 2148 | 59 | 77.25 | 78
13:02:59 | 2183 | 59 | 77.25 | 78
13:03:00 | 2210 | 60 | 76.86 | 78
13:03:00 | 2253 | 60 | 76.08 | 78
13:03:01 | 2281 | 61 | 76.08 | 78
13:03:02 | 2300 | 62 | 80.39 | 78
13:03:03 | 2332 | 63 | 80.0 | 78
13:03:04 | 2367 | 64 | 78.43 | 78
13:03:04 | 2386 | 65 | 75.29 | 78
13:03:05 | 2414 | 66 | 74.51 | 78
13:03:06 | 2414 | 67 | 74.12 | 78
13:03:07 | 2437 | 67 | 72.94 | 78
13:03:07 | 2445 | 66 | 74.12 | 78
13:03:08 | 2468 | 67 | 74.12 | 78
13:03:09 | 2484 | 68 | 72.55 | 79
13:03:10 | 2503 | 68 | 71.76 | 79
13:03:10 | 2507 | 69 | 71.37 | 79
13:03:11 | 2519 | 69 | 70.59 | 79
13:03:12 | 2539 | 69 | 71.37 | 79
13:03:13 | 2550 | 70 | 70.59 | 79
13:03:14 | 2566 | 70 | 70.59 | 79
13:03:14 | 2562 | 70 | 70.59 | 79
13:03:15 | 2597 | 71 | 69.8 | 79
13:03:16 | 2609 | 72 | 69.02 | 79
13:03:17 | 2613 | 72 | 69.02 | 79
13:03:17 | 2628 | 72 | 68.63 | 79
13:03:18 | 2632 | 72 | 67.84 | 79
13:03:19 | 2640 | 72 | 62.75 | 79
13:03:20 | 2652 | 73 | 60.39 | 79
13:03:20 | 2644 | 73 | 54.51 | 79
13:03:21 | 2636 | 73 | 55.29 | 79
13:03:22 | 2628 | 72 | 54.9 | 79
13:03:23 | 2628 | 72 | 57.65 | 79
13:03:23 | 2625 | 72 | 54.9 | 79
13:03:24 | 2621 | 72 | 56.47 | 79
13:03:25 | 2609 | 72 | 57.25 | 79
13:03:26 | 2593 | 72 | 57.25 | 79
13:03:27 | 2578 | 72 | 58.04 | 79
13:03:27 | 2570 | 71 | 58.82 | 79
13:03:28 | 2550 | 70 | 58.82 | 79
13:03:29 | 2531 | 71 | 53.33 | 79
13:03:30 | 2507 | 70 | 53.33 | 79
13:03:30 | 2460 | 69 | 63.14 | 79
13:03:31 | 2460 | 68 | 63.14 | 79
13:03:32 | 2480 | 68 | 59.22 | 79
13:03:33 | 2496 | 68 | 59.22 | 79
13:03:33 | 2515 | 69 | 60.0 | 79
13:03:34 | 2527 | 70 | 59.22 | 79
13:03:35 | 2546 | 69 | 60.0 | 79
13:03:36 | 2554 | 69 | 60.0 | 79
13:03:37 | 2554 | 71 | 60.0 | 79
13:03:37 | 2554 | 71 | 59.22 | 79
13:03:38 | 2558 | 70 | 53.33 | 79
13:03:39 | 2546 | 70 | 53.73 | 79
13:03:40 | 2531 | 70 | 54.51 | 79
13:03:40 | 2527 | 70 | 54.9 | 79
13:03:41 | 2523 | 69 | 56.08 | 79
13:03:42 | 2511 | 69 | 56.08 | 79
13:03:43 | 2515 | 70 | 57.65 | 79
13:03:43 | 2519 | 69 | 57.65 | 79
13:03:44 | 2515 | 69 | 57.65 | 79
13:03:45 | 2515 | 70 | 60.78 | 79
13:03:46 | 2507 | 69 | 61.57 | 79
13:03:46 | 2519 | 69 | 61.57 | 79
13:03:47 | 2523 | 70 | 61.57 | 79
13:03:48 | 2523 | 69 | 61.57 | 79
13:03:49 | 2523 | 69 | 61.57 | 79
13:03:50 | 2503 | 69 | 61.57 | 79
13:03:50 | 2500 | 69 | 61.57 | 79
13:03:51 | 2488 | 69 | 40.78 | 79
13:03:52 | 2433 | 69 | 37.65 | 79
13:03:53 | 2375 | 67 | 25.88 | 79
13:03:53 | 2308 | 66 | 29.8 | 79
13:03:54 | 2296 | 65 | 38.04 | 79
13:03:55 | 2312 | 64 | 47.45 | 79
13:03:56 | 2332 | 64 | 47.84 | 79
13:03:57 | 2332 | 64 | 48.24 | 79
13:03:57 | 2332 | 64 | 50.59 | 79
13:03:58 | 2343 | 64 | 54.51 | 79
13:03:59 | 2355 | 65 | 55.29 | 79
13:04:00 | 2367 | 65 | 55.29 | 79
13:04:00 | 2371 | 65 | 55.29 | 79
13:04:01 | 2363 | 65 | 55.29 | 79
13:04:02 | 2363 | 65 | 55.29 | 79
13:04:03 | 2375 | 65 | 55.29 | 79
13:04:03 | 2367 | 65 | 55.29 | 79
13:04:04 | 2367 | 66 | 55.29 | 79
13:04:05 | 2371 | 65 | 55.29 | 79
13:04:06 | 2375 | 65 | 55.29 | 79
13:04:06 | 2371 | 65 | 55.29 | 79
13:04:07 | 2375 | 66 | 55.29 | 79
13:04:08 | 2375 | 65 | 55.29 | 79
13:04:09 | 2371 | 65 | 55.29 | 79
13:04:10 | 2367 | 65 | 55.29 | 79
13:04:10 | 2359 | 65 | 55.29 | 79
13:04:11 | 2371 | 66 | 55.29 | 79
13:04:12 | 2371 | 65 | 45.1 | 79
13:04:13 | 2367 | 65 | 51.76 | 79
13:04:13 | 2351 | 65 | 53.33 | 79
13:04:14 | 2343 | 65 | 54.51 | 79
13:04:15 | 2343 | 65 | 54.9 | 79
13:04:16 | 2343 | 64 | 54.9 | 79
13:04:16 | 2355 | 65 | 54.51 | 79
13:04:17 | 2347 | 65 | 53.73 | 79
13:04:18 | 2347 | 65 | 53.33 | 79
13:04:19 | 2355 | 64 | 52.55 | 79
13:04:19 | 2347 | 65 | 52.55 | 79
13:04:20 | 2343 | 65 | 53.73 | 79
13:04:21 | 2343 | 64 | 54.51 | 79
13:04:22 | 2351 | 64 | 54.9 | 79
13:04:22 | 2347 | 65 | 55.29 | 79
13:04:23 | 2343 | 65 | 57.25 | 79
13:04:24 | 2339 | 64 | 61.57 | 79
13:04:25 | 2351 | 64 | 65.88 | 79
13:04:26 | 2371 | 65 | 66.27 | 79
13:04:26 | 2375 | 65 | 66.27 | 79
13:04:27 | 2390 | 66 | 66.27 | 79
13:04:28 | 2414 | 66 | 65.88 | 79
13:04:29 | 2437 | 66 | 65.88 | 79
13:04:29 | 2441 | 67 | 65.88 | 79
13:04:30 | 2460 | 67 | 65.88 | 79
13:04:31 | 2453 | 67 | 65.88 | 79
