Waktu | RPM| Speed | Engine Load | Coolant Temperature
12:26:20 | 750 | 0 | 28.24 | 83
12:26:21 | 750 | 0 | 28.24 | 83
12:26:22 | 750 | 0 | 28.24 | 83
12:26:23 | 761 | 0 | 28.24 | 83
12:26:24 | 753 | 0 | 28.63 | 83
12:26:24 | 746 | 0 | 28.63 | 83
12:26:25 | 746 | 0 | 28.24 | 83
12:26:26 | 761 | 0 | 28.24 | 83
12:26:27 | 746 | 0 | 28.63 | 83
12:26:28 | 746 | 0 | 28.24 | 83
12:26:28 | 750 | 0 | 28.24 | 83
12:26:29 | 746 | 0 | 28.24 | 83
12:26:30 | 746 | 0 | 28.63 | 83
12:26:31 | 746 | 0 | 28.24 | 83
12:26:31 | 753 | 0 | 28.24 | 83
12:26:32 | 746 | 0 | 28.63 | 83
12:26:33 | 750 | 0 | 28.63 | 83
12:26:34 | 757 | 0 | 28.24 | 83
12:26:34 | 750 | 0 | 28.63 | 83
12:26:35 | 742 | 0 | 28.63 | 83
12:26:36 | 742 | 0 | 28.24 | 83
12:26:37 | 738 | 0 | 28.63 | 83
12:26:37 | 730 | 0 | 28.63 | 83
12:26:38 | 742 | 0 | 28.24 | 83
12:26:39 | 750 | 0 | 28.24 | 83
12:26:40 | 753 | 0 | 28.63 | 83
12:26:41 | 742 | 0 | 28.63 | 83
12:26:41 | 750 | 0 | 28.63 | 83
12:26:42 | 738 | 0 | 28.63 | 83
12:26:43 | 746 | 0 | 28.63 | 83
12:26:44 | 738 | 0 | 28.63 | 83
12:26:44 | 753 | 0 | 28.24 | 83
12:26:45 | 738 | 0 | 28.63 | 83
12:26:46 | 742 | 0 | 28.63 | 83
12:26:47 | 750 | 0 | 28.24 | 83
12:26:48 | 750 | 0 | 28.24 | 83
12:26:48 | 742 | 0 | 28.63 | 83
12:26:49 | 746 | 0 | 28.63 | 83
12:26:50 | 761 | 0 | 28.63 | 83
12:26:51 | 750 | 0 | 28.63 | 83
12:26:51 | 738 | 0 | 28.63 | 83
12:26:52 | 738 | 0 | 28.24 | 83
12:26:53 | 738 | 0 | 28.63 | 83
12:26:54 | 746 | 0 | 28.24 | 83
12:26:55 | 750 | 0 | 28.63 | 83
12:26:55 | 750 | 0 | 28.24 | 83
12:26:56 | 753 | 0 | 28.63 | 83
12:26:57 | 757 | 0 | 28.24 | 83
12:26:58 | 750 | 0 | 28.63 | 83
12:26:58 | 757 | 0 | 28.63 | 83
12:26:59 | 765 | 0 | 28.24 | 83
12:27:00 | 734 | 0 | 28.63 | 83
12:27:01 | 738 | 0 | 28.63 | 83
12:27:01 | 742 | 0 | 28.24 | 83
12:27:02 | 757 | 0 | 28.24 | 83
12:27:03 | 750 | 0 | 28.24 | 83
12:27:04 | 742 | 0 | 28.24 | 83
12:27:04 | 750 | 0 | 28.63 | 83
12:27:05 | 753 | 0 | 28.63 | 83
12:27:06 | 753 | 0 | 28.24 | 83
12:27:07 | 753 | 0 | 28.63 | 83
12:27:08 | 757 | 0 | 28.24 | 83
12:27:08 | 753 | 0 | 28.63 | 83
12:27:09 | 750 | 0 | 28.63 | 83
12:27:10 | 746 | 0 | 28.24 | 83
12:27:11 | 750 | 0 | 28.24 | 83
